system,L,r,Gr
rd,128,7,2.850768e+04
rd,128,8,2.874770e+04
rd,128,9,2.785449e+04
rd,128,10,2.827692e+04
rd,128,11,2.857157e+04
rd,128,12,2.911728e+04
rd,128,13,2.818750e+04
rd,128,14,2.996184e+04
rd,128,15,2.876684e+04
rd,128,16,2.919809e+04
rd,128,17,2.913250e+04
rd,128,18,2.830550e+04
rd,128,19,2.831705e+04
rd,128,20,2.712164e+04
rd,128,21,2.881396e+04
rd,128,22,2.894197e+04
rd,128,23,2.866760e+04
rd,128,24,2.962650e+04
rd,128,25,2.879775e+04
rd,128,26,2.794930e+04
rd,128,27,2.900526e+04
rd,128,28,2.881283e+04
rd,128,29,2.858612e+04
rd,128,30,2.904647e+04
rd,128,31,2.857339e+04
rd,128,32,2.864729e+04
rd,128,33,2.847495e+04
rd,128,34,2.823706e+04
rd,128,35,2.929506e+04
rd,128,36,2.911665e+04
rd,128,37,2.890009e+04
rd,128,38,2.744308e+04
rd,128,39,2.749372e+04
rd,128,40,2.889930e+04
rd,128,41,2.832672e+04
rd,128,42,2.830888e+04
rd,128,43,2.901236e+04
rd,128,44,2.956155e+04
rd,128,45,2.881943e+04
rd,128,46,2.919165e+04
rd,128,47,2.770432e+04
rd,128,48,2.859385e+04
rd,128,49,2.752161e+04
rd,128,50,2.964917e+04
rd,128,51,2.925912e+04
rd,128,52,2.722707e+04
rd,128,53,2.970053e+04
rd,128,54,2.893421e+04
rd,128,55,3.019277e+04
rd,128,56,2.775032e+04
rd,128,57,2.980775e+04
rd,128,58,2.807912e+04
rd,128,59,2.801534e+04
rd,128,60,2.850945e+04
rd,128,61,2.805385e+04
rd,128,62,2.795166e+04
rd,128,63,2.750450e+04
rd,128,64,2.812420e+04
ks,128,1,4.513677e-02
ks,128,2,1.804049e-01
ks,128,3,4.053787e-01
ks,128,4,7.193507e-01
ks,128,5,1.121335e+00
ks,128,6,1.610074e+00
ks,128,7,2.184039e+00
ks,128,8,2.841445e+00
ks,128,9,3.580253e+00
ks,128,10,4.398182e+00
ks,128,11,5.292719e+00
ks,128,12,6.261133e+00
ks,128,13,7.300481e+00
ks,128,14,8.407630e+00
ks,128,15,9.579263e+00
ks,128,16,1.081190e+01
ks,128,17,1.210190e+01
ks,128,18,1.344551e+01
ks,128,19,1.483882e+01
ks,128,20,1.627785e+01
ks,128,21,1.775852e+01
ks,128,22,1.927667e+01
ks,128,23,2.082808e+01
ks,128,24,2.240850e+01
ks,128,25,2.401365e+01
ks,128,26,2.563925e+01
ks,128,27,2.728099e+01
ks,128,28,2.893461e+01
ks,128,29,3.059586e+01
ks,128,30,3.226054e+01
ks,128,31,3.392450e+01
ks,128,32,3.558367e+01
ks,128,33,3.723402e+01
ks,128,34,3.887164e+01
ks,128,35,4.049271e+01
ks,128,36,4.209348e+01
ks,128,37,4.367035e+01
ks,128,38,4.521981e+01
ks,128,39,4.673846e+01
ks,128,40,4.822306e+01
ks,128,41,4.967047e+01
ks,128,42,5.107769e+01
ks,128,43,5.244185e+01
ks,128,44,5.376022e+01
ks,128,45,5.503021e+01
ks,128,46,5.624937e+01
ks,128,47,5.741538e+01
ks,128,48,5.852605e+01
ks,128,49,5.957935e+01
ks,128,50,6.057337e+01
ks,128,51,6.150634e+01
ks,128,52,6.237662e+01
ks,128,53,6.318271e+01
ks,128,54,6.392322e+01
ks,128,55,6.459692e+01
ks,128,56,6.520267e+01
ks,128,57,6.573947e+01
ks,128,58,6.620646e+01
ks,128,59,6.660287e+01
ks,128,60,6.692808e+01
ks,128,61,6.718155e+01
ks,128,62,6.736288e+01
ks,128,63,6.747180e+01
ks,128,64,6.750812e+01
