L,T,seed_index,representation,n_samples,hdbscan_clusters,hdbscan_noise,hdbscan_all_ari,hdbscan_core_ari,hdbscan_core_nmi,kmeans_ari,knn3_accuracy,knn3_std,ew_kpz_dist,kpz_ks_dist
128,1000,1,6d_spatial,150,4,4,0.47050288017171515,0.49008786530355025,0.7413540564767913,0.17935524494055324,0.8533333333333333,0.07774602526460399,0.8602053709712475,1.8719436133232168
128,1000,1,10d_spatial_temporal,150,4,4,0.47050288017171515,0.49008786530355025,0.7413540564767913,0.49167168372466385,0.9733333333333334,0.03265986323710903,1.9121989950112306,3.585774690157318
128,1000,2,6d_spatial,150,4,2,0.48221943782467575,0.48304375926700377,0.738727565611192,0.18907361807735348,0.8466666666666667,0.04521553322083511,0.8634739232286497,1.9458138479435743
128,1000,2,10d_spatial_temporal,150,4,4,0.46799677433092784,0.47933878490131165,0.7374133099014206,0.49167168372466385,0.9666666666666668,0.04216370213557838,1.8784076647083876,3.708117632730223
192,1500,0,6d_spatial,150,4,2,0.47976242820726717,0.4897490116760136,0.7425906828807503,0.17981917204179534,0.8266666666666668,0.04898979485566359,0.8745339053976556,1.9134697831765584
192,1500,0,10d_spatial_temporal,150,6,16,0.4648034056288703,0.5930574654233469,0.7874016498833042,0.49167168372466385,0.9933333333333334,0.01333333333333333,2.071953054705023,3.6886482036366752
192,1500,1,6d_spatial,150,5,4,0.41167710307024263,0.4375899472165905,0.683414228254865,0.18398934549326262,0.7733333333333334,0.024944382578492973,0.8413204232557868,1.8817016338886094
192,1500,1,10d_spatial_temporal,150,4,2,0.48157323953082365,0.4829725434180437,0.7387871501088226,0.4931972789115646,0.9800000000000001,0.02666666666666666,2.072200472413382,3.6875581917007088
192,1500,2,6d_spatial,150,4,2,0.47976242820726717,0.4897490116760136,0.7425906828807503,0.17935524494055324,0.82,0.058118652580542336,0.871086802935789,1.888901644445418
192,1500,2,10d_spatial_temporal,150,5,16,0.4401280068369399,0.55979953029146,0.7713684280019827,0.49003241234994344,0.9866666666666667,0.016329931618554516,2.035774778893374,3.672710735378864
256,2000,0,6d_spatial,150,4,0,0.4931972789115646,0.4931972789115646,0.7438478550696795,0.18630209451843546,0.8133333333333335,0.04521553322083511,0.9273676853464302,1.8463322724325042
256,2000,0,10d_spatial_temporal,150,6,6,0.4639735434369174,0.5170257060910123,0.7504015669299552,0.49167168372466385,0.9866666666666667,0.01632993161855452,2.1198420512261325,3.6816034359029723
256,2000,1,6d_spatial,150,5,1,0.4566530262028909,0.45712385540817935,0.7118758620487629,0.18213708320731317,0.8266666666666668,0.05734883511361753,0.8805170452291751,1.878680834425912
256,2000,1,10d_spatial_temporal,150,6,6,0.4751630361546971,0.5293810125666119,0.7596574221470658,0.49167168372466385,1.0,0.0,2.186473796522407,3.7315761399846736
256,2000,2,6d_spatial,150,4,1,0.48747846754322843,0.4881365216866519,0.7413375507006966,0.17981917204179534,0.7933333333333333,0.03887301263230203,0.8882424219026259,1.8634955218940927
256,2000,2,10d_spatial_temporal,150,6,13,0.46986660088426724,0.5757949318529288,0.785950129341798,0.49061503566615167,0.9866666666666667,0.016329931618554516,2.0523812135985438,3.680881984951589
