source,source_family,protocol,seed_start,representation,representation_family,evaluation_mode,subset,systems,n_samples,n_true_classes,kmeans_ari,kmeans_nmi,hdbscan_ari_all,hdbscan_ari_core,hdbscan_clusters,hdbscan_noise,knn3_accuracy,knn3_accuracy_std,notes
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,matched effective exponent geometry,effective_exponent,refit_subset,ew_kpz_only,EW/KPZ only,80,2,0.9012531649626615,0.8557693561998521,0.9753047827446076,1.0,2,1,1.0,0.0,Subset reclustering from stored matched exponent vectors.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,matched effective exponent geometry,effective_exponent,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,240,4,0.8198403390674631,0.8313837888312637,0.8934010800622076,0.9257423059570473,4,5,nan,nan,Post-hoc restriction of all-system exponent partition; refit_subset rows are preferred.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,matched effective exponent geometry,effective_exponent,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,200,3,0.7694835083529121,0.7385110490023508,0.8632295321826727,0.9035644893248291,3,5,nan,nan,Post-hoc restriction of all-system exponent partition; refit_subset rows are preferred.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,matched effective exponent geometry,effective_exponent,restrict_full_partition,no_rd,EW/KPZ/BD/Eden/KS,200,3,0.7976789692413919,0.7990126857210195,0.8632295321826727,0.9035644893248291,3,5,nan,nan,Post-hoc restriction of all-system exponent partition; refit_subset rows are preferred.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,matched effective exponent geometry,effective_exponent,restrict_full_partition,no_rd_no_ks,EW/KPZ/BD/Eden,160,2,0.688834789307542,0.6094906631356221,0.7843751628736897,0.8419394698070759,2,5,nan,nan,Post-hoc restriction of all-system exponent partition; refit_subset rows are preferred.
results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,exp70_sweep,equal,69000,matched effective exponent geometry,effective_exponent,restrict_full_partition,ew_kpz_only,EW/KPZ only,80,2,0.6354897625684899,0.5695090250817507,0.6559956374950882,0.7087994034302759,2,3,nan,nan,Post-hoc restriction of all-system exponent partition; refit_subset rows are preferred.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,single-L features,feature,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,240,4,0.6049586776859505,0.7864379259835008,0.5662431941923775,0.5662431941923775,6,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,single-L features,feature,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,200,3,0.49958088851634536,0.6712694853274367,0.4776902887139108,0.4776902887139108,5,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,single-L features,feature,restrict_full_partition,no_rd,EW/KPZ/BD/Eden/KS,200,3,0.49958088851634536,0.6712694853274367,0.4776902887139108,0.4776902887139108,5,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,single-L features,feature,restrict_full_partition,no_rd_no_ks,EW/KPZ/BD/Eden,160,2,0.24644549763033174,0.3437110184854493,0.3291139240506329,0.3291139240506329,4,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,single-L features,feature,restrict_full_partition,ew_kpz_only,EW/KPZ only,80,2,1.0,1.0,1.0,1.0,2,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,raw multi-L features,feature,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,240,4,0.6049586776859505,0.7864379259835008,0.5662431941923775,0.5662431941923775,6,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,raw multi-L features,feature,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,200,3,0.49958088851634536,0.6712694853274367,0.4776902887139108,0.4776902887139108,5,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,raw multi-L features,feature,restrict_full_partition,no_rd,EW/KPZ/BD/Eden/KS,200,3,0.49958088851634536,0.6712694853274367,0.4776902887139108,0.4776902887139108,5,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,raw multi-L features,feature,restrict_full_partition,no_rd_no_ks,EW/KPZ/BD/Eden,160,2,0.24644549763033174,0.3437110184854493,0.3291139240506329,0.3291139240506329,4,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,raw multi-L features,feature,restrict_full_partition,ew_kpz_only,EW/KPZ only,80,2,1.0,1.0,1.0,1.0,2,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,cross-L engineered features,feature,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,240,4,0.4957805907172996,0.7438478550696794,0.5200726174778804,0.527215334966663,6,13,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,cross-L engineered features,feature,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,200,3,0.3464696223316913,0.598105502370886,0.42553995769347,0.42288232589844804,5,13,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,cross-L engineered features,feature,restrict_full_partition,no_rd,EW/KPZ/BD/Eden/KS,200,3,0.3464696223316913,0.598105502370886,0.4313270812451084,0.4270169470043563,5,12,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,cross-L engineered features,feature,restrict_full_partition,no_rd_no_ks,EW/KPZ/BD/Eden,160,2,-0.0707070707070707,0.1510656397890323,0.28075190597784555,0.24823576911401707,4,12,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,cross-L engineered features,feature,restrict_full_partition,ew_kpz_only,EW/KPZ only,80,2,0.0,0.0,0.7695460353431857,0.976297772670414,3,12,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,PCA-whitened multi-L features,feature,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,240,4,0.4957805907172996,0.7438478550696794,0.5259678248732829,0.5271129960617994,6,16,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,PCA-whitened multi-L features,feature,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,200,3,0.3464696223316913,0.598105502370886,0.4329287598944591,0.42067883392517963,5,16,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,PCA-whitened multi-L features,feature,restrict_full_partition,no_rd,EW/KPZ/BD/Eden/KS,200,3,0.3464696223316913,0.598105502370886,0.4776902887139108,0.4776902887139108,5,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,PCA-whitened multi-L features,feature,restrict_full_partition,no_rd_no_ks,EW/KPZ/BD/Eden,160,2,-0.0707070707070707,0.1510656397890323,0.3291139240506329,0.3291139240506329,4,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,PCA-whitened multi-L features,feature,restrict_full_partition,ew_kpz_only,EW/KPZ only,80,2,1.0,1.0,1.0,1.0,2,0,nan,nan,Only cluster labels are stored for this feature representation; this is not a subset refit.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,matched effective exponent geometry,effective_exponent,refit_subset,all_six,EW/KPZ/BD/Eden/RD/KS,240,4,0.5839644482509787,0.7020406996543783,0.6597719475564793,0.6748871529965758,3,4,0.9208333333333334,0.03726779962499651,Subset reclustering from stored matched exponent vectors.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,matched effective exponent geometry,effective_exponent,refit_subset,no_ks,EW/KPZ/BD/Eden/RD,200,3,0.47199780331855806,0.5409012397970216,0.5132927407299377,0.5370781846955577,2,3,0.9,0.025000000000000022,Subset reclustering from stored matched exponent vectors.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,matched effective exponent geometry,effective_exponent,refit_subset,no_rd,EW/KPZ/BD/Eden/KS,200,3,0.5098806122049556,0.5977432774551349,0.5382830626450116,0.5382830626450116,2,0,0.9049999999999999,0.04472135954999578,Subset reclustering from stored matched exponent vectors.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,matched effective exponent geometry,effective_exponent,refit_subset,no_rd_no_ks,EW/KPZ/BD/Eden,160,2,0.32370252108850023,0.3002414814250395,0.07359071664811188,0.2861158688858962,3,69,0.88125,0.02614562582918986,Subset reclustering from stored matched exponent vectors.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,matched effective exponent geometry,effective_exponent,refit_subset,ew_kpz_only,EW/KPZ only,80,2,0.5955339759151984,0.4998777831168896,0.47850587667042344,0.7960208450009018,3,22,0.975,0.03423265984407288,Subset reclustering from stored matched exponent vectors.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,matched effective exponent geometry,effective_exponent,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,240,4,0.5839644482509787,0.7020406996543783,0.6597719475564793,0.6748871529965758,3,4,nan,nan,Post-hoc restriction of all-system exponent partition; refit_subset rows are preferred.
results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,exp70_sweep,equal,70000,matched effective exponent geometry,effective_exponent,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,200,3,0.47199780331855806,0.5409012397970216,0.5347749853886616,0.5498250243818484,2,4,nan,nan,Post-hoc restriction of all-system exponent partition; refit_subset rows are preferred.
