protocol,seed_start,system,source,kmeans_ari,hdbscan_core_ari,ks_excluded_kmeans_ari,n,alpha_mean,beta_mean,z_mean,alpha_std,beta_std,z_std
equal,70000,rd,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,0.5839644482509787,0.6748871529965758,0.47199780331855806,40,0.021565717164457814,0.49141456342517975,0.04974341576428261,0.024917537502965496,0.006704566160003615,0.041098152938824316
equal,70000,ks,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,0.5839644482509787,0.6748871529965758,0.47199780331855806,40,-1.382710984334573e-06,5.813587436844562,6.951775107542269e-07,1.1095104772695817e-05,0.09713876738578396,9.267850920708027e-07
equal,71000,ew,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,0.5340588355108098,0.6607150047643917,0.43471131639722865,40,0.5003068094234154,0.2536019325551059,1.9770823216814228,0.0698678787404347,0.010597583297950115,0.29633720616669823
equal,71000,kpz,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,0.5340588355108098,0.6607150047643917,0.43471131639722865,40,0.48485738901569186,0.2876642222709685,1.68657629375815,0.05952218562425813,0.009511178911300074,0.2094288018528492
equal,71000,bd,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,0.5340588355108098,0.6607150047643917,0.43471131639722865,40,0.2905527789241522,0.3551426750960889,0.8737925888344282,0.0469224564509168,0.093174783576158,0.26003101002331386
equal,71000,eden,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,0.5340588355108098,0.6607150047643917,0.43471131639722865,40,0.24075475122867465,0.25728839976380524,0.9412182390582483,0.09334224342851001,0.03598946019999409,0.36033855018802385
equal,71000,rd,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,0.5340588355108098,0.6607150047643917,0.43471131639722865,40,0.014145444869915655,0.5034189795389535,0.03879828794589342,0.027400477369643513,0.008836501833715916,0.04016978610594956
equal,71000,ks,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,0.5340588355108098,0.6607150047643917,0.43471131639722865,40,9.111647198425663e-06,5.811051630258608,1.8758181676888803e-06,1.2825135464677538e-05,0.1252045374906094,1.8019267034556055e-06
equal,72000,ew,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json,0.6150564896683484,0.8445592071226358,0.746593117803942,40,0.6835371600517993,0.24825954688161903,2.76230215332648,0.0687899335858935,0.011500707347312566,0.33650426906808767
equal,72000,kpz,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json,0.6150564896683484,0.8445592071226358,0.746593117803942,40,0.36006900866465746,0.31432214097627603,1.145959560099413,0.07606484097697035,0.010241201244414563,0.2420256550629958
