dataset_id,source,dataset_family,representation,protocol,seed_start,subset,systems,n_samples,n_systems,system_a,system_b,standardized_centroid_distance,same_universality_class
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,ew,ks,4.351,False
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,ew,rd,3.25238,False
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,kpz,ks,3.94548,False
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,kpz,rd,2.73748,False
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,ks,rd,2.60304,False
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_ks,EW/KPZ/BD/Eden/RD,200,5,bd,eden,0.606666,True
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_ks,EW/KPZ/BD/Eden/RD,200,5,bd,ew,1.2024,False
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_ks,EW/KPZ/BD/Eden/RD,200,5,bd,kpz,0.478863,True
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_ks,EW/KPZ/BD/Eden/RD,200,5,bd,rd,3.26135,False
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_ks,EW/KPZ/BD/Eden/RD,200,5,eden,ew,1.57281,False
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_ks,EW/KPZ/BD/Eden/RD,200,5,eden,kpz,1.0588,True
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_ks,EW/KPZ/BD/Eden/RD,200,5,eden,rd,3.08453,False
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_ks,EW/KPZ/BD/Eden/RD,200,5,ew,kpz,0.913757,False
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_ks,EW/KPZ/BD/Eden/RD,200,5,ew,rd,4.43525,False
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_ks,EW/KPZ/BD/Eden/RD,200,5,kpz,rd,3.62147,False
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd,EW/KPZ/BD/Eden/KS,200,5,bd,eden,0.505747,True
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd,EW/KPZ/BD/Eden/KS,200,5,bd,ew,1.02032,False
exponent_equal_70000,results_exp70_matched_codex_sweep_full_equal_seed70000\summary.json,effective_exponent,matched effective exponent geometry,equal,70000,no_rd,EW/KPZ/BD/Eden/KS,200,5,bd,kpz,0.45825,True
