dataset_id,source,dataset_family,representation,protocol,seed_start,subset,systems,n_samples,n_systems,n_universality_classes,target_label_set,method,requested_n_clusters,status,n_clusters_found,n_noise,ari_universality_all,ari_system_all,nmi_universality_all,nmi_system_all,system_minus_universality_ari_all,ari_universality_core,ari_system_core,system_minus_universality_ari_core
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,3,microscopic_system,agglomerative_complete,5,ok,5,0,0.420701,0.489325,0.60852,0.585197,0.0686232,0.420701,0.489325,0.0686232
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,3,microscopic_system,spectral_nearest,5,ok,5,0,0.405591,0.528387,0.613931,0.632879,0.122796,0.405591,0.528387,0.122796
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,3,microscopic_system,spectral_rbf,5,ok,5,0,0.482652,0.475051,0.652996,0.635926,-0.007601,0.482652,0.475051,-0.007601
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_ks,EW/KPZ/BD/Eden/RD,200,5,3,variable_density,hdbscan,,ok,3,13,0.840341,0.473258,0.877422,0.689914,-0.367083,0.982743,0.497326,-0.485417
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,3,universality,kmeans,3,ok,3,0,0.860311,0.450516,0.841779,0.664031,-0.409795,0.860311,0.450516,-0.409795
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,3,universality,gmm_full,3,ok,3,0,0.890107,0.452016,0.86524,0.671362,-0.438091,0.890107,0.452016,-0.438091
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,3,universality,gmm_diag,3,ok,3,0,0.890107,0.452016,0.86524,0.671362,-0.438091,0.890107,0.452016,-0.438091
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,3,universality,agglomerative_ward,3,ok,3,0,0.761907,0.454806,0.777152,0.653255,-0.307101,0.761907,0.454806,-0.307101
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,3,universality,agglomerative_average,3,ok,3,0,0.722625,0.453432,0.75508,0.637255,-0.269193,0.722625,0.453432,-0.269193
exponent_equal_69000,results_exp70_matched_codex_sweep_full_equal_seed69000\summary.json,effective_exponent,matched effective exponent geometry,equal,69000,no_rd,EW/KPZ/BD/Eden/KS,200,5,3,universality,agglomerative_complete,3,ok,3,0,0.761907,0.454806,0.777152,0.653255,-0.307101,0.761907,0.454806,-0.307101
