source_family,protocol,representation,representation_family,evaluation_mode,subset,systems,n_rows,n_samples_mean,n_true_classes_mean,kmeans_ari_mean,kmeans_ari_std,kmeans_ari_min,kmeans_ari_max,hdbscan_core_ari_mean,hdbscan_core_ari_std,hdbscan_core_ari_min,hdbscan_core_ari_max,knn3_accuracy_mean,knn3_accuracy_std,notes
exp70_sweep,equal,single-L features,feature,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,5,200,3,0.463363,0.0809849,0.318493,0.499581,0.47769,0,0.47769,0.47769,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,equal,single-L features,feature,restrict_full_partition,no_rd,EW/KPZ/BD/Eden/KS,5,200,3,0.403606,0.214607,0.0197044,0.499581,0.47769,0,0.47769,0.47769,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,equal,single-L features,feature,restrict_full_partition,no_rd_no_ks,EW/KPZ/BD/Eden,5,160,2,0.207871,0.0862559,0.0535714,0.246445,0.329114,0,0.329114,0.329114,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,exp69,PCA-whitened multi-L features,feature,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,5,240,4,0.294093,0.112747,0.243671,0.495781,0.439861,0.0803748,0.358009,0.541222,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,exp69,PCA-whitened multi-L features,feature,restrict_full_partition,ew_kpz_only,EW/KPZ only,5,80,2,0.8,0.447214,0,1,1,0,1,1,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,exp69,PCA-whitened multi-L features,feature,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,5,200,3,0.204573,0.169147,0.0197044,0.34647,0.28936,0.122254,0.155002,0.441958,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,exp69,PCA-whitened multi-L features,feature,restrict_full_partition,no_rd,EW/KPZ/BD/Eden/KS,5,200,3,0.204573,0.169147,0.0197044,0.34647,0.382172,0.0871959,0.318493,0.47769,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,exp69,PCA-whitened multi-L features,feature,restrict_full_partition,no_rd_no_ks,EW/KPZ/BD/Eden,5,160,2,0.0287157,0.055579,-0.0707071,0.0535714,0.163788,0.150921,0.0535714,0.329114,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,exp69,cross-L engineered features,feature,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,5,240,4,0.495583,0.000441348,0.494794,0.495781,0.513733,0.0589733,0.427857,0.56367,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,exp69,cross-L engineered features,feature,restrict_full_partition,ew_kpz_only,EW/KPZ only,5,80,2,0,0,0,0,0.993704,0.0125928,0.974814,1,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,exp69,cross-L engineered features,feature,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,5,200,3,0.346357,0.000250784,0.345909,0.34647,0.397015,0.0906392,0.272918,0.474101,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,exp69,cross-L engineered features,feature,restrict_full_partition,no_rd,EW/KPZ/BD/Eden/KS,5,200,3,0.346357,0.000250784,0.345909,0.34647,0.406905,0.0817993,0.307097,0.474101,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,exp69,cross-L engineered features,feature,restrict_full_partition,no_rd_no_ks,EW/KPZ/BD/Eden,5,160,2,-0.0699818,0.00162184,-0.0707071,-0.0670805,0.235129,0.152346,0.00757686,0.323548,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,exp69,matched effective exponent geometry,effective_exponent,refit_subset,all_six,EW/KPZ/BD/Eden/RD/KS,5,240,4,0.600314,0.182461,0.438731,0.90171,0.674224,0.199287,0.477068,0.959571,0.946667,0.0427363,Subset reclustering from stored matched exponent vectors.
exp70_sweep,exp69,matched effective exponent geometry,effective_exponent,refit_subset,ew_kpz_only,EW/KPZ only,5,80,2,0.517293,0.44031,-0.0102561,1,0.70124,0.345311,0.194086,1,0.9675,0.0496865,Subset reclustering from stored matched exponent vectors.
exp70_sweep,exp69,matched effective exponent geometry,effective_exponent,refit_subset,no_ks,EW/KPZ/BD/Eden/RD,5,200,3,0.564451,0.198134,0.374539,0.843234,0.596175,0.134936,0.517089,0.83672,0.95,0.043589,Subset reclustering from stored matched exponent vectors.
exp70_sweep,exp69,matched effective exponent geometry,effective_exponent,refit_subset,no_rd,EW/KPZ/BD/Eden/KS,5,200,3,0.62221,0.240329,0.381674,0.936031,0.526587,0.026154,0.479801,0.538283,0.946,0.0545894,Subset reclustering from stored matched exponent vectors.
exp70_sweep,exp69,matched effective exponent geometry,effective_exponent,refit_subset,no_rd_no_ks,EW/KPZ/BD/Eden,5,160,2,0.437755,0.366265,0.0900332,0.921943,0.333333,0.38735,-0.0910745,0.745472,0.9425,0.0576899,Subset reclustering from stored matched exponent vectors.
exp70_sweep,exp69,matched effective exponent geometry,effective_exponent,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,5,240,4,0.600314,0.182461,0.438731,0.90171,0.674224,0.199287,0.477068,0.959571,,,Post-hoc restriction of all-system exponent partition; refit_subset rows are preferred.
exp70_sweep,exp69,matched effective exponent geometry,effective_exponent,restrict_full_partition,ew_kpz_only,EW/KPZ only,5,80,2,0.351778,0.424284,-0.0114555,0.814965,0.358965,0.45446,-0.000666445,0.947361,,,Post-hoc restriction of all-system exponent partition; refit_subset rows are preferred.
exp70_sweep,exp69,matched effective exponent geometry,effective_exponent,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,5,200,3,0.492919,0.230566,0.288833,0.873651,0.579512,0.269585,0.333943,0.983199,,,Post-hoc restriction of all-system exponent partition; refit_subset rows are preferred.
exp70_sweep,exp69,matched effective exponent geometry,effective_exponent,restrict_full_partition,no_rd,EW/KPZ/BD/Eden/KS,5,200,3,0.562657,0.211775,0.409759,0.898028,0.596921,0.256457,0.356765,0.946491,,,Post-hoc restriction of all-system exponent partition; refit_subset rows are preferred.
exp70_sweep,exp69,matched effective exponent geometry,effective_exponent,restrict_full_partition,no_rd_no_ks,EW/KPZ/BD/Eden,5,160,2,0.362634,0.30723,0.0977825,0.840141,0.328348,0.456991,-0.11524,0.971559,,,Post-hoc restriction of all-system exponent partition; refit_subset rows are preferred.
exp70_sweep,exp69,raw multi-L features,feature,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,5,240,4,0.604959,0,0.604959,0.604959,0.566243,0,0.566243,0.566243,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,exp69,raw multi-L features,feature,restrict_full_partition,ew_kpz_only,EW/KPZ only,5,80,2,1,0,1,1,1,0,1,1,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,exp69,raw multi-L features,feature,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,5,200,3,0.499581,6.20634e-17,0.499581,0.499581,0.47769,0,0.47769,0.47769,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,exp69,raw multi-L features,feature,restrict_full_partition,no_rd,EW/KPZ/BD/Eden/KS,5,200,3,0.499581,6.20634e-17,0.499581,0.499581,0.47769,0,0.47769,0.47769,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,exp69,raw multi-L features,feature,restrict_full_partition,no_rd_no_ks,EW/KPZ/BD/Eden,5,160,2,0.246445,3.10317e-17,0.246445,0.246445,0.329114,0,0.329114,0.329114,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,exp69,single-L features,feature,restrict_full_partition,all_six,EW/KPZ/BD/Eden/RD/KS,5,240,4,0.532701,0.161573,0.243671,0.604959,0.558609,0.017071,0.528071,0.566243,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,exp69,single-L features,feature,restrict_full_partition,ew_kpz_only,EW/KPZ only,5,80,2,1,0,1,1,1,0,1,1,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,exp69,single-L features,feature,restrict_full_partition,no_ks,EW/KPZ/BD/Eden/RD,5,200,3,0.463363,0.0809849,0.318493,0.499581,0.46906,0.019297,0.434541,0.47769,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,exp69,single-L features,feature,restrict_full_partition,no_rd,EW/KPZ/BD/Eden/KS,5,200,3,0.403606,0.214607,0.0197044,0.499581,0.47769,0,0.47769,0.47769,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
exp70_sweep,exp69,single-L features,feature,restrict_full_partition,no_rd_no_ks,EW/KPZ/BD/Eden,5,160,2,0.207871,0.0862559,0.0535714,0.246445,0.329114,0,0.329114,0.329114,,,Only cluster labels are stored for this feature representation; this is not a subset refit.
