protocol,seed_start,system_a,system_b,standardized_centroid_distance_no_ks,source
exp69,72000,kpz,rd,2.212181345592302,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json
exp69,72000,bd,eden,1.1799472303824443,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json
exp69,72000,bd,rd,2.5501701852194283,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json
exp69,72000,eden,rd,1.514736950453356,results_exp70_matched_codex_sweep_full_exp69_seed72000\summary.json
exp69,73000,ew,kpz,0.897299536222568,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json
exp69,73000,ew,bd,1.6535359980660074,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json
exp69,73000,ew,eden,2.7071779855850457,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json
exp69,73000,ew,rd,3.9127263775979313,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json
exp69,73000,kpz,bd,0.7642684045076621,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json
exp69,73000,kpz,eden,1.8951473340636469,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json
exp69,73000,kpz,rd,3.0722628303513138,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json
exp69,73000,bd,eden,1.2632258102968807,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json
exp69,73000,bd,rd,2.344107688560703,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json
exp69,73000,eden,rd,1.3212052362876254,results_exp70_matched_codex_sweep_full_exp69_seed73000\summary.json
