source,protocol,seed_start,representation,representation_key,representation_family,subset,systems,n_samples,n_features,n_true_classes,kmeans_ari,kmeans_nmi,hdbscan_ari_all,hdbscan_ari_core,hdbscan_clusters,hdbscan_noise
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,all_six,EW/KPZ/BD/Eden/RD/KS,240,3,4,0.583964,0.702041,0.659772,0.674887,3,4
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,no_ks,EW/KPZ/BD/Eden/RD,200,3,3,0.471998,0.540901,0.513293,0.537078,2,3
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,no_rd,EW/KPZ/BD/Eden/KS,200,3,3,0.509881,0.597743,0.538283,0.538283,2,0
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,no_rd_no_ks,EW/KPZ/BD/Eden,160,3,2,0.322338,0.281808,0.0735907,0.286116,3,69
results_exp70_matched_codex_matrix_full_equal_seed70000\matched_matrices.npz,equal,70000,matched effective exponent geometry,matched_exponent_geometry,effective_exponent,ew_kpz_only,EW/KPZ only,80,3,2,0.595534,0.499878,0.478506,0.796021,3,22
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,single-L features,single_L_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,10,4,0.604959,0.786438,0.566243,0.566243,6,0
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,single-L features,single_L_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,10,3,0.499581,0.671269,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,single-L features,single_L_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,10,3,0.0197044,0.306337,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,single-L features,single_L_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,10,2,-0.0707071,0.151066,0.329114,0.329114,4,0
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,single-L features,single_L_features,feature,ew_kpz_only,EW/KPZ only,80,10,2,1,1,1,1,2,0
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,raw multi-L features,multi_L_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,40,4,0.604959,0.786438,0.566243,0.566243,6,0
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,raw multi-L features,multi_L_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,40,3,0.499581,0.671269,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,raw multi-L features,multi_L_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,40,3,0.0197044,0.306337,0.47769,0.47769,5,0
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,raw multi-L features,multi_L_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,40,2,-0.0707071,0.151066,0.324566,0.33098,4,1
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,raw multi-L features,multi_L_features,feature,ew_kpz_only,EW/KPZ only,80,40,2,1,1,1,1,2,0
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,cross-L engineered features,cross_L_engineered_features,feature,all_six,EW/KPZ/BD/Eden/RD/KS,240,40,4,0.495781,0.743848,0.529969,0.538387,6,11
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,cross-L engineered features,cross_L_engineered_features,feature,no_ks,EW/KPZ/BD/Eden/RD,200,40,3,0.315641,0.547672,0.425247,0.423079,5,15
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,cross-L engineered features,cross_L_engineered_features,feature,no_rd,EW/KPZ/BD/Eden/KS,200,40,3,0.34647,0.598106,0.436794,0.43131,5,13
results_exp70_matched_codex_matrix_full_equal_seed71000\matched_matrices.npz,equal,71000,cross-L engineered features,cross_L_engineered_features,feature,no_rd_no_ks,EW/KPZ/BD/Eden,160,40,2,-0.0707071,0.151066,0.284858,0.233655,4,16
