dataset_id,source,dataset_family,representation,protocol,seed_start,subset,systems,n_samples,n_systems,merge_step,distance,left_cluster,right_cluster,merged_cluster,kpz_systems_inside,non_kpz_systems_inside
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,no_rd,EW/KPZ/BD/Eden/KS,200,5,1,0.277004,bd,eden,bd/eden,bd/eden,
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,no_rd,EW/KPZ/BD/Eden/KS,200,5,2,0.402163,ew,kpz,ew/kpz,kpz,ew
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,no_rd,EW/KPZ/BD/Eden/KS,200,5,3,1.72544,bd/eden,ew/kpz,bd/eden/ew/kpz,bd/eden/kpz,ew
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,no_rd,EW/KPZ/BD/Eden/KS,200,5,4,3.72875,ks,bd/eden/ew/kpz,bd/eden/ew/kpz/ks,bd/eden/kpz,ew/ks
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,1,0.755207,ew,kpz,ew/kpz,kpz,ew
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,2,1.57044,bd,eden,bd/eden,bd/eden,
exponent_equal_71000,results_exp70_matched_codex_sweep_full_equal_seed71000\summary.json,effective_exponent,matched effective exponent geometry,equal,71000,no_rd_no_ks,EW/KPZ/BD/Eden,160,4,3,2.58057,ew/kpz,bd/eden,bd/eden/ew/kpz,bd/eden/kpz,ew
exponent_equal_72000,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json,effective_exponent,matched effective exponent geometry,equal,72000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,1,0.3112,bd,kpz,bd/kpz,bd/kpz,
exponent_equal_72000,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json,effective_exponent,matched effective exponent geometry,equal,72000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,2,0.615606,eden,rd,eden/rd,eden,rd
exponent_equal_72000,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json,effective_exponent,matched effective exponent geometry,equal,72000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,3,1.36394,bd/kpz,eden/rd,bd/eden/kpz/rd,bd/eden/kpz,rd
exponent_equal_72000,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json,effective_exponent,matched effective exponent geometry,equal,72000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,4,2.93913,ew,bd/eden/kpz/rd,bd/eden/ew/kpz/rd,bd/eden/kpz,ew/rd
exponent_equal_72000,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json,effective_exponent,matched effective exponent geometry,equal,72000,all_six,EW/KPZ/BD/Eden/RD/KS,240,6,5,3.33086,ks,bd/eden/ew/kpz/rd,bd/eden/ew/kpz/ks/rd,bd/eden/kpz,ew/ks/rd
exponent_equal_72000,results_exp70_matched_codex_sweep_full_equal_seed72000\summary.json,effective_exponent,matched effective exponent geometry,equal,72000,no_ks,EW/KPZ/BD/Eden/RD,200,5,1,0.371433,bd,kpz,bd/kpz,bd/kpz,
